suffix	subject	unit	description
cpi	PCPI	idx	CPI Average Consumer Prices Index
inflation	PCPIPCH	pcent_change	Inflation Average Consumer Prices (annual %)
unemployment	LUR	pcent_total_labor_force	Unemployment Rate (% of labor force)
gdp	NGDPD	us_dollars	GDP Current Prices (billions USD)
gdp.growth	NGDP_RPCH	pcent_change	GDP Growth Rate (annual %)
gdp.pc	NGDPDPC	us_dollars	GDP Per Capita Current Prices (USD)
ppp	PPPGDP	purchasing_power_parity_international_dollars	GDP Purchasing Power Parity (billions intl $)
ppp.pc	PPPPC	purchasing_power_parity_international_dollars	GDP Per Capita PPP (intl $)
population	LP	persons	Population (millions)
employment	LE	persons	Employment (millions)
savings	NGSD_NGDP	pcent_gdp	Gross National Savings (% of GDP)
investment	NID_NGDP	pcent_gdp	Total Investment (% of GDP)
exports	TX_RPCH	pcent_change	Volume of Exports Growth (annual %)
imports	TM_RPCH	pcent_change	Volume of Imports Growth (annual %)
ca	BCA_NGDPD	pcent_gdp	Current Account Balance (% of GDP)
core.inflation	PCPIEPCH	pcent_change	Inflation Core (excl. food & energy, annual %)
output.gap	NGAP_NPGDP	pcent_potential_gdp	Output Gap (% of potential GDP)
gov.debt	GGXWDG	national_currency	General Government Gross Debt (national currency)
gov.debt.gdp	GGXWDG_NGDP	pcent_gdp	General Government Gross Debt (% of GDP)
gov.revenue	GGR	national_currency	General Government Revenue (national currency)
gov.revenue.gdp	GGR_NGDP	pcent_gdp	General Government Revenue (% of GDP)
gov.expenditure	GGX	national_currency	General Government Total Expenditure (national currency)
gov.expenditure.gdp	GGX_NGDP	pcent_gdp	General Government Total Expenditure (% of GDP)
gov.net.lending	GGSB	national_currency	General Government Net Lending/Borrowing (national currency)
gov.net.lending.gdp	GGSB_NPGDP	pcent_potential_gdp	General Government Net Lending/Borrowing (% of potential GDP)
gov.net.debt	GGXWDN	national_currency	General Government Net Debt (national currency)
gov.net.debt.gdp	GGXWDN_NGDP	pcent_gdp	General Government Net Debt (% of GDP)
gov.balance	GGXCNL	national_currency	General Government Net Lending/Borrowing alternate (national currency)
gov.balance.gdp	GGXCNL_NGDP	pcent_gdp	General Government Net Lending/Borrowing alternate (% of GDP)
gdp.deflator	NGDP_D	idx	GDP Deflator Index
ppp.pc.real	NGDPRPPPPC	purchasing_power_parity_2017_international_dollar	Real GDP Per Capita PPP (2017 intl $)
ppp.share	PPPSH	pcent	Share of World GDP based on PPP (%)
goods.exports	TXG_RPCH	pcent_change	Volume of Goods Exports Growth (annual %)
goods.imports	TMG_RPCH	pcent_change	Volume of Goods Imports Growth (annual %)
cpi.core	PCPIE	idx	Core CPI Index (excl. food & energy)
